created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,budget,is_hybrid,is_iceberg,is_dynamic,is_immutable
2024-08-28 22:53:33.183 -0700,CALC_CR_ECV_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,1536,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:00.027 -0700,CALC_CR_ECV_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,1536,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:52:58.620 -0700,CALC_CR_ENV_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:25.128 -0700,CALC_CR_ENV_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:50.661 -0700,CALC_CR_INF_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:17.380 -0700,CALC_CR_INF_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:27.404 -0700,CALC_CR_QMF_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:54.265 -0700,CALC_CR_QMF_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:21.611 -0700,CALC_CR_REG_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:48.364 -0700,CALC_CR_REG_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:44.823 -0700,CALC_CR_RLB_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:11.614 -0700,CALC_CR_RLB_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:04.316 -0700,CALC_CR_SAC_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:31.105 -0700,CALC_CR_SAC_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:56.556 -0700,CALC_CR_SCL_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:32.467 -0700,CALC_CR_SCL_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:15.868 -0700,CALC_CR_SFY_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:42.533 -0700,CALC_CR_SFY_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:10.068 -0700,CALC_CR_TFE_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:36.772 -0700,CALC_CR_TFE_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:38.975 -0700,CALC_CR_USB_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:05.817 -0700,CALC_CR_USB_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2048,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:30.283 -0700,CR_ECV_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,4608,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:57.106 -0700,CR_ECV_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,4608,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:52:55.765 -0700,CR_ENV_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,7168,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:22.248 -0700,CR_ENV_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,7168,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:28:02.899 -0700,CR_INF_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:14.516 -0700,CR_INF_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:24.504 -0700,CR_QMF_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:51.324 -0700,CR_QMF_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:18.704 -0700,CR_REG_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:45.463 -0700,CR_REG_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:41.951 -0700,CR_RLB_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:08.693 -0700,CR_RLB_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:01.452 -0700,CR_SAC_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,3072,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:28.105 -0700,CR_SAC_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,3072,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:53.602 -0700,CR_SCL_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,6144,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:21.444 -0700,CR_SCL_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,6144,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:12.932 -0700,CR_SFY_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2560,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:39.669 -0700,CR_SFY_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,2560,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:07.176 -0700,CR_TFE_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:56:33.931 -0700,CR_TFE_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,5120,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 22:53:36.092 -0700,CR_USB_STAGING,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,4096,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
2024-08-28 23:57:02.914 -0700,CR_USB_STAGING_BCK,HPL_SYSTEM_DYNAMICS,STAGING_STORE,TABLE,,,100,4096,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,,N,N,N,N
