Time,Quantum_Factor,Maglev_levitation,AI_Machine_Learning,Digital_twins,5G,Quantum_Computing,Augmented_Reality,Virtual_Reality,3D_printing_at_scale,Blockchain,Self_driving_autonomous_vehicles
0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.09999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.9984943084259043,0.001505691574095741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1,0.16912218538705576,0.8308778146129443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.1,0.10846179630689465,0.8915382036931053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.09999999999999999,0.4383210424337147,0.5616789575662852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,0.1105406203247937,0.8894593796752064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.10000000000000002,0.47766653779983764,0.5223334622001625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.1,0.14248679482057744,0.8575132051794226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1,0.9358353933215839,0.06416460667841613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1,0.17000078204071745,0.8299992179592826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1,0.579051586674613,0.42094841332538696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1,0.09144555886090874,0.23439620978810397,0.6741582313509874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1,0.8312243686550166,0.03486596620512961,0.13390966513985378,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.1,0.45358239724274063,0.42092219955956806,0.12549540319769137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1,0.5479237259916045,0.3772635232973318,0.07481275071106365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.1,0.2695010780843,0.24711236673371634,0.48338655518198365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.1,0.4887094504459602,0.1965894251957955,0.3147011243582443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.1,0.6132814906311427,0.21552069057634923,0.17119781879250812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.09999999999999999,0.41320296410484153,0.5420639885123318,0.04473304738282658,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.1,0.5647366913922715,0.13941807155068664,0.295845237057042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.1,0.3113079344438735,0.4076300026988802,0.2810620628572463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.10000000000000002,0.6158306960015507,0.2215293533272806,0.1389551098694268,0.023684840801741987,0.0,0.0,0.0,0.0,0.0,0.0
31,0.1,0.43517454855688975,0.005853526042185059,0.4704412919388837,0.08853063346204153,0.0,0.0,0.0,0.0,0.0,0.0
32,0.1,0.17308790179395478,0.06478078887718261,0.46770789082444053,0.29442341850442205,0.0,0.0,0.0,0.0,0.0,0.0
33,0.1,0.11432533051562303,0.08061810603489675,0.5246516729082185,0.2804048905412618,0.0,0.0,0.0,0.0,0.0,0.0
34,0.09999999999999999,0.1217705977991466,0.004244061742272823,0.4913441668350031,0.3826411736235774,0.0,0.0,0.0,0.0,0.0,0.0
35,0.09999999999999999,0.3443436410966298,0.0030924364225352434,0.23241349692045435,0.4201504255603805,0.0,0.0,0.0,0.0,0.0,0.0
36,0.1,0.1417223009130497,0.11955472892668192,0.5064838359186306,0.23223913424163778,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1,0.030205074451849348,0.08924275218758605,0.10079163050604867,0.7797605428545159,0.0,0.0,0.0,0.0,0.0,0.0
38,0.09999999999999999,0.18765574098512353,0.1522941941883473,0.15349636117170048,0.5065537036548285,0.0,0.0,0.0,0.0,0.0,0.0
39,0.09999999999999999,0.15930090790644108,0.7244754267333692,0.09610068266778339,0.020122982692406338,0.0,0.0,0.0,0.0,0.0,0.0
40,0.09999999999999999,0.31290548922501854,0.2071275072596825,0.03460090916662291,0.3050624749440118,0.14030361940466418,0.0,0.0,0.0,0.0,0.0
41,0.1,0.06732008176029707,0.18785067762033986,0.14736032750550812,0.041505831827098515,0.5559630812867564,0.0,0.0,0.0,0.0,0.0
42,0.10000000000000002,0.15012255451432518,0.020640926286398038,0.03594516317567819,0.773439312648252,0.01985204337534664,0.0,0.0,0.0,0.0,0.0
43,0.1,0.45114189710062047,0.1747488584315304,0.30679723083618454,0.004817144847946731,0.06249486878371796,0.0,0.0,0.0,0.0,0.0
44,0.1,0.015055981663236592,0.13568060470794732,0.09257805726515944,0.5307165999796145,0.2259687563840422,0.0,0.0,0.0,0.0,0.0
45,0.1,0.4962146942243754,0.010098155828849318,0.030911325237531432,0.13078706779822494,0.33198875691101887,0.0,0.0,0.0,0.0,0.0
46,0.09999999999999999,0.2740376503988657,0.12386759128840186,0.09566796485574869,0.21542237193292277,0.2910044215240609,0.0,0.0,0.0,0.0,0.0
47,0.1,0.3053645642492957,0.1833290463247932,0.006464999011658608,0.487687838409204,0.017153552005048624,0.0,0.0,0.0,0.0,0.0
48,0.09999999999999999,0.04048951497126378,0.21953857876686764,0.31394985731233777,0.2828337996490739,0.14318824930045684,0.0,0.0,0.0,0.0,0.0
49,0.10000000000000002,0.13778022654503333,0.2954734748051501,0.022091342545352485,0.03066144556978352,0.5139935105346807,0.0,0.0,0.0,0.0,0.0
50,0.1,0.00814025607596822,0.17393175381949605,0.15784743724480366,0.4216243484448423,0.15210905504998806,0.08634714936490175,0.0,0.0,0.0,0.0
51,0.1,0.005029572903331173,0.338713620998548,0.007034614153973075,0.08008817130710356,0.0008418424601182444,0.5682921781769259,0.0,0.0,0.0,0.0
52,0.10000000000000002,0.6109253100724718,0.09053089301410851,0.008120729925118506,0.09185569836711073,0.08744358361090789,0.11112378501028283,0.0,0.0,0.0,0.0
53,0.09999999999999999,0.15837275609447318,0.1793460567465981,0.012239271156965124,0.3039116091380518,0.02444185808754622,0.32168844877636543,0.0,0.0,0.0,0.0
54,0.09999999999999998,0.12668542770568603,0.3872979828286684,0.004659350477740776,0.24821803401291043,0.09787931436876125,0.13525989060623297,0.0,0.0,0.0,0.0
55,0.09999999999999999,0.10367986197291824,0.0069287816195693535,0.3855028296269065,0.10045090053472319,0.36425805107470344,0.039179575171179225,0.0,0.0,0.0,0.0
56,0.1,0.46928592438047306,0.27550157197202746,0.05028262765346946,0.10217221204598066,0.03998839466941344,0.06276926927863598,0.0,0.0,0.0,0.0
57,0.1,0.13568397943546823,0.26133362559564044,0.06921387429578602,0.2650952487632422,0.14051696265395458,0.1281563092559085,0.0,0.0,0.0,0.0
58,0.1,0.05174720703493986,0.18301329609522832,0.44932411108739484,0.04672485140974765,0.1389048182675468,0.13028571610514253,0.0,0.0,0.0,0.0
59,0.09999999999999999,0.15602319725036662,0.06748073261997944,0.4069083020945991,0.024844536945299256,0.20376008984361255,0.1409831412461429,0.0,0.0,0.0,0.0
60,0.1,0.06001450745178395,0.5445337514368903,0.009896279941388962,0.07979644018088337,0.1473332298729904,0.08327992814696958,0.07514586296909344,0.0,0.0,0.0
61,0.1,0.09382760136701838,0.030530103362811947,0.05216178114070202,0.21698764134393808,0.2184323850970156,0.383986822009317,0.004073665679196938,0.0,0.0,0.0
62,0.1,0.031446165946358434,0.2130511240561639,0.05477671751182717,0.006396604227904813,0.1735454368349348,0.2345562477623036,0.28622770366050726,0.0,0.0,0.0
63,0.09999999999999999,0.04211302442459178,0.3901870831041951,0.08978711919567485,0.04353164270076256,0.04712074391701801,0.16058062017476915,0.2266797664829884,0.0,0.0,0.0
64,0.1,0.15317944613147982,0.02294384467750194,0.15865144154993194,0.22110026200064764,0.07999849746163978,0.12314597439463462,0.2409805337841642,0.0,0.0,0.0
65,0.1,0.009753874591001225,0.06156238225589136,0.03779608014368276,0.04962243945757629,0.3150870834297686,0.5126111882230863,0.013566951898993538,0.0,0.0,0.0
66,0.1,0.011489398821400551,0.08946381331601612,0.1177568481832485,0.09160212040307586,0.44399816278870513,0.22575466171211986,0.019934994775434044,0.0,0.0,0.0
67,0.1,0.3980218444442626,0.05346937551691583,0.10232343761143785,0.26086651875547096,0.0007815286170129136,0.11242257230914032,0.07211472274575953,0.0,0.0,0.0
68,0.1,0.31508115485243465,0.1592630080619412,0.09222650095828719,0.07775034571321326,0.022013384750429337,0.03127895944046678,0.3023866462232276,0.0,0.0,0.0
69,0.10000000000000002,0.11611799763319507,0.06386237055316976,0.028119446964262315,0.3577905587966427,0.3167740109393071,0.018077124208023283,0.09925849090539998,0.0,0.0,0.0
70,0.09999999999999999,0.19847289830901202,0.09134178009476457,0.15639018730621748,0.053564952116323915,0.17027361797224547,0.23042855630286482,0.050374650726580594,0.04915335717199103,0.0,0.0
71,0.1,0.058992443251881195,0.04388607015203588,0.2785822536539075,0.11251893502424407,0.08365686904424972,0.05732757042429136,0.10407105903927688,0.26096479941011347,0.0,0.0
72,0.1,0.05603869133179466,0.0210286728147235,0.06215160563998719,0.032871369834380826,0.08820946223560171,0.5476494977187021,0.16757396419001855,0.024476736234791567,0.0,0.0
73,0.09999999999999998,0.06892620562095805,0.11356085326819845,0.15478271592677986,0.18682275639196727,0.08574855728345289,0.14532865563461406,0.14368695124230524,0.10114330463172398,0.0,0.0
74,0.1,0.26015931812852444,0.008425884395697341,0.0036852139443170387,0.01030163671470239,0.07520359618500806,0.018432619397643547,0.16840433032675664,0.45538740090735064,0.0,0.0
75,0.09999999999999999,0.06601273568437266,0.3721643526082816,0.02235258475904194,0.09049674924897491,0.1422339843823178,0.264271529179355,0.012135460882215862,0.030332603255440148,0.0,0.0
76,0.09999999999999999,0.08045246413575532,0.16725104491045908,0.19062594357952758,0.1774983213320178,0.160977927289082,0.11234150504895815,0.06913251796531793,0.041720275738882054,0.0,0.0
77,0.09999999999999999,0.21285275769700732,0.22785644878316258,0.1408677898979596,0.07918548255280079,0.015402993427352782,0.06186408205961848,0.12215009701233047,0.13982034856976785,0.0,0.0
78,0.09999999999999999,0.011146669685587089,0.09461688398717023,0.06011915661473742,0.341579271731732,0.07643282240617828,0.09112626614238335,0.16084750078732177,0.1641314286448897,0.0,0.0
79,0.10000000000000002,0.0054394691010915186,0.11624560473206931,0.05177075480867252,0.5517943865230538,0.029497668256897952,0.06945703271951431,0.09355068464352766,0.08224439921517306,0.0,0.0
80,0.10000000000000002,0.08617348715009249,0.23938640182182327,0.15085072457251628,0.19894015673604173,0.055293218760477,0.0051028227498344765,0.09885952885394358,0.07995339650029054,0.08544026285498081,0.0
81,0.10000000000000002,0.02406056856417972,0.2017315185281823,0.05997229525531971,0.09169836700688644,0.16462962823328087,0.17566258342508945,0.0975875274290891,0.11153845776773484,0.0731190537902377,0.0
82,0.10000000000000002,0.33042820752513413,0.0950758012910648,0.059566391457661745,0.05578930425341656,0.13616319285324,0.11745988428015262,0.0735015203759929,0.12776905243234835,0.004246645530989011,0.0
83,0.10000000000000002,0.014424461555286584,0.06539001029715728,0.20061167350229628,0.09046755918728074,0.043817402102761416,0.36747845461076867,0.1912282312912061,0.015645025759917615,0.010937181693325491,0.0
84,0.09999999999999999,0.08874803455966622,0.1582883696037334,0.2603477540593598,0.11665019099826263,0.15735300404187402,0.020148729330311938,0.05983071723023834,0.1307190547713585,0.007914145405195002,0.0
85,0.1,0.12681271497730523,0.14903226274214432,0.018480263686732314,0.014609227707651046,0.11329887865027205,0.03711077564967262,0.2153732690179478,0.03996152198707737,0.2853210855811971,0.0
86,0.09999999999999999,0.0087041298699986,0.053776072682455836,0.0058617529313497365,0.1172204030022959,0.14836042503865346,0.1508673692508021,0.03799466713074128,0.38960544531783864,0.08760973477586444,0.0
87,0.1,0.19471085603178678,0.3946651511007129,0.047428081387225665,0.009958474155179973,0.08955689138517521,0.0015691225540834398,0.023820075925795145,0.040160488172847134,0.19813085928719376,0.0
88,0.1,0.1014303141440185,0.050284733629710136,0.16844743075954263,0.12449700542385006,0.33966993326044875,0.0394291190287004,0.06427563770483424,0.07415777112229273,0.03780805492660251,0.0
89,0.09999999999999998,0.22649079409947945,0.09863762513211488,0.14182530201378402,0.053030769457492605,0.08051387066168773,0.023984901061700818,0.030654474279239827,0.1651914512157736,0.17967081207872687,0.0
90,0.09999999999999999,0.006550093172775553,0.02637873502054121,0.4906353099998052,0.005834269001076255,0.02879434537882922,0.12984628244652807,0.046025210541968405,0.13131108601739738,0.06595504391371906,0.06866962450735961
91,0.1,0.014838104585519329,0.10333657116419101,0.005554423672893516,0.025918865439024684,0.1521670181914488,0.24087431213088026,0.004647023216007871,0.1862901464738765,0.09100369190311486,0.17536984322304328
92,0.09999999999999998,0.0715363891904174,0.060284164976689605,0.12230516052815177,0.005977528296967693,0.06517319538122307,0.21410102642290618,0.02946970571988297,0.1945113746236019,0.07578170801251255,0.1608597468476467
93,0.09999999999999999,0.01720854233033763,0.11324935037615796,0.23544278844178157,0.2620898396778394,0.009835454047811724,0.22719204869658718,0.006702834717498299,0.032652350492841764,0.09485127470395824,0.0007755165151861047
94,0.1,0.058029051542858326,0.09254555811093317,0.13237579508697905,0.021338240330385425,0.19483205150365332,0.21019086187648744,0.08907542474644259,0.06668403703590464,0.058823071432566036,0.07610590833379001
95,0.09999999999999999,0.11337712367689728,0.1900776802969113,0.17924726312113637,0.14672517990401904,0.02271328645584713,0.13340080469410057,0.025732695531007183,0.0396360504501716,0.10609440364292876,0.04299551222698073
96,0.09999999999999999,0.00897790536730541,0.048478788641649534,0.32280431589769903,0.10266915987798181,0.034189390286889054,0.057576852171232,0.18335984492403085,0.10537145386465956,0.044493339574593116,0.0920789493939596
97,0.09999999999999999,0.031096682879726646,0.15912554252746455,0.0635642892042711,0.07363434045841172,0.19055552617330307,0.21152621231057508,0.020092344126434004,0.03593840538948567,0.06282377720091352,0.1516428797294146
98,0.09999999999999998,0.3260132628390829,0.10406020679812486,0.13521104586327892,0.12397702314598823,0.09781261342916422,0.055890518835052624,0.016899654395645315,0.10702638280811057,0.02448893388787524,0.008620357997677026
99,0.1,0.2689605748323221,0.11615047365271727,0.07231250118771589,0.06312573062598247,0.041996134436031604,0.23759225758082944,0.14672545819603344,0.024204307792457018,0.019361238775345863,0.009571322920564942
