Unnamed: 0,ID,MODEL,EXPERIMENT_TYPE,EXPERIMENT_START_DATE,EXPERIMENT_END_DATE,MODEL_WORK_TIME,SAVE_DATA_TO_SNOWFLAKE_TIME,EXPERIMENT_TIME_TOTAL,DATA_INTENSITY,PROMPT_VOLUME,OUTPUT_VOLUME,CORRECTNESS
0,1,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:11:08,2024-September-04 12:11:09,0.6227991580963135,0.000285864,1.4989020824432373,2,177,57,100%
1,2,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:29,2024-September-04 12:14:30,0.6967511177062988,0.000459909,1.562800645828247,2,177,47,100%
2,3,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:35,2024-September-04 12:14:36,0.5707573890686035,0.000279188,1.558391571044922,2,177,57,100%
3,4,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:41,2024-September-04 12:14:42,0.5569005012512207,0.001508713,1.4213488101959229,2,177,47,100%
4,5,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:14:48,2024-September-04 12:15:09,20.727439880371094,0.00066328,21.59412121772766,2,177,47,100%
5,6,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:15:56,2024-September-04 12:15:58,0.6217954158782959,0.000455379,1.5788378715515137,2,177,47,100%
6,7,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:02,2024-September-04 12:16:04,0.5575714111328125,0.000478506,1.4025590419769287,2,177,47,100%
7,8,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:08,2024-September-04 12:16:10,0.668978214,0.000310421,1.4872736930847168,2,176,46,100%
8,9,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:15,2024-September-04 12:16:36,20.71087765693665,0.000558853,21.58612179756165,2,176,46,100%
9,10,gpt-3.5-turbo,remove_hyperloop_specifications_sql,2024-September-04 12:16:41,2024-September-04 12:16:42,0.5822632312774658,0.000355721,1.4919216632843018,2,176,46,100%
10,11,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:00,2024-September-04 12:18:04,1.6346802711486816,0.000355482,3.926389694213867,2,253,381,100%
11,12,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:09,2024-September-04 12:18:13,1.876772165298462,0.001433611,3.9202935695648193,2,253,322,100%
12,13,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:17,2024-September-04 12:18:21,1.4142591953277588,0.000761271,3.613815546035767,2,253,247,100%
13,14,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:25,2024-September-04 12:18:29,1.203321933746338,0.001025438,3.3510515689849854,2,254,277,100%
14,15,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:18:34,2024-September-04 12:18:57,21.509679794311523,0.000508308,23.57651662826538,2,254,312,100%
15,16,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:20:23,2024-September-04 12:20:29,4.039514541625977,0.000309706,5.784168720245361,2,254,205,100%
16,17,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:20:34,2024-September-04 12:20:40,4.105453014373779,0.000526667,6.163082122802734,2,254,221,100%
17,18,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:20:44,2024-September-04 12:20:50,3.535054922103882,0.000305414,5.561283826828003,2,254,225,100%
18,19,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:20:55,2024-September-04 12:21:01,4.656831026077271,0.000553131,6.751966476,2,254,297,100%
19,20,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:21:06,2024-September-04 12:21:18,8.921448469161987,0.000660658,12.02269983291626,2,254,638,100%
20,21,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:21:54,2024-September-04 12:21:59,2.700136423110962,0.000622272,4.828433513641357,2,254,455,100%
21,22,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:22:03,2024-September-04 12:22:09,3.2629270553588867,0.000386,5.226822853088379,2,254,462,100%
22,23,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:22:13,2024-September-04 12:22:19,3.573352813720703,0.000523806,5.731790304,2,254,712,100%
23,24,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:22:24,2024-September-04 12:22:28,1.9686622619628904,0.000829697,4.027644395828247,2,254,423,100%
24,25,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:22:33,2024-September-04 12:22:38,3.234377384185791,0.000433445,5.180974960327148,2,254,791,100%
25,26,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:23:02,2024-September-04 12:23:06,1.349207878112793,0.000548601,3.4895288944244385,2,254,403,100%
26,27,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:23:16,2024-September-04 12:23:19,1.300556182861328,0.000701666,3.4785807132720947,2,254,418,100%
27,28,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:23:24,2024-September-04 12:23:29,3.0118207931518555,0.000305176,5.119690895080566,2,254,564,100%
28,29,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:23:34,2024-September-04 12:23:37,1.258568286895752,0.000603676,3.4298949241638184,2,254,448,100%
29,30,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:23:42,2024-September-04 12:23:47,3.234304666519165,0.000488758,5.264022350311279,2,254,501,100%
30,31,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:25:21,2024-September-04 12:25:25,2.5047502517700195,0.000434637,4.575556516647339,5,254,433,100%
31,32,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:25:30,2024-September-04 12:25:34,2.5108578205108643,0.000348568,4.576115369796753,5,254,508,100%
32,33,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:25:39,2024-September-04 12:25:44,2.8074004650115967,0.000464201,4.878523349761963,5,254,628,100%
33,34,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:25:48,2024-September-04 12:25:53,2.287635564804077,0.000543118,4.254877090454102,5,254,438,100%
34,35,gpt-3.5-turbo,add_hyperloop_subsystem_sql,2024-September-04 12:25:57,2024-September-04 12:26:21,21.600892543792725,0.000469446,23.723475456237797,5,254,321,100%
35,36,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:26:54,2024-September-04 12:27:09,12.55845594406128,0.000493288,15.57359743118286,5,254,695,100%
36,37,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:27:14,2024-September-04 12:27:22,5.542872667312622,0.000587702,7.685594320297241,5,254,377,100%
37,38,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:27:27,2024-September-04 12:27:35,6.818152904510498,0.000493765,8.931380987167358,5,254,381,100%
38,39,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:27:40,2024-September-04 12:27:48,5.474943399429321,0.000403404,7.647434234619141,5,254,316,100%
39,40,gpt-4,add_hyperloop_subsystem_sql,2024-September-04 12:27:53,2024-September-04 12:28:06,9.789349794387816,0.000334978,13.121545791625977,5,254,701,100%
40,41,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:32:49,2024-September-04 12:32:50,0.5326633453369141,0.000559568,1.2820913791656494,5,254,47,100%
41,42,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:32:55,2024-September-04 12:32:56,0.6780986785888672,0.000577211,1.4740116596221924,5,254,47,100%
42,43,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:33:01,2024-September-04 12:33:07,3.904749155044556,0.000485897,6.162511348724365,5,254,618,100%
43,44,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:33:12,2024-September-04 12:33:19,4.501237392425537,0.000840187,6.622422933578491,5,254,949,100%
44,45,mistral-small,add_hyperloop_subsystem_sql,2024-September-04 12:33:24,2024-September-04 12:33:28,2.758030176,0.000524998,4.740530252456665,5,254,568,100%
45,46,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:33:51,2024-September-04 12:33:55,1.931527137756348,0.000518799,4.046639919281006,5,254,959,100%
46,47,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:34:00,2024-September-04 12:34:04,1.9805538654327397,0.000517607,4.163743973,5,254,1031,100%
47,48,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:34:09,2024-September-04 12:34:13,2.058673858642578,0.000512838,4.144927263259888,5,254,1040,100%
48,49,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:34:18,2024-September-04 12:34:21,1.9891223907470703,0.000379086,3.8050572872161865,5,254,999,100%
49,50,gemini-1.5-flash,add_hyperloop_subsystem_sql,2024-September-04 12:34:26,2024-September-04 12:34:31,2.4369945526123047,0.000564098,4.6105568408966064,5,254,1443,100%
50,51,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:35:10,2024-September-04 12:35:12,1.1601011753082275,0.000480175,2.0098581314086914,1,177,47,100%
51,52,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:35:17,2024-September-04 12:35:19,1.1794161796569824,0.000525236,2.1042301654815674,1,177,47,100%
52,53,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:35:23,2024-September-04 12:35:26,1.981175661087036,0.000520229,2.925797224,1,177,47,100%
53,54,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:35:31,2024-September-04 12:35:33,1.6326663494110107,0.000271559,2.5195834636688232,1,177,47,100%
54,55,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:35:38,2024-September-04 12:36:00,21.33491325378418,0.000329971,22.186511754989624,1,177,47,100%
55,56,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:36:05,2024-September-04 12:36:27,21.25925898551941,0.000343561,22.226558208465576,1,177,47,100%
56,57,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:36:32,2024-September-04 12:36:37,4.215017080307007,0.000513077,5.149797201156616,1,177,47,100%
57,58,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:36:42,2024-September-04 12:37:07,23.944642782211304,0.000417709,24.87363052368164,1,177,57,100%
58,59,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:37:11,2024-September-04 12:37:13,1.2057092189788818,0.000382423,2.117208957672119,1,177,47,100%
59,60,gpt-4,remove_hyperloop_specifications_sql,2024-September-04 12:37:18,2024-September-04 12:37:40,21.435219287872314,0.000462294,22.37920976,1,177,47,100%
60,61,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:38:51,2024-September-04 12:38:55,2.0888030529022217,0.000552654,3.8340020179748535,1,177,254,100%
61,62,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:38:59,2024-September-04 12:39:02,1.0395708084106443,0.000557899,2.695888996124268,1,177,185,100%
62,63,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:07,2024-September-04 12:39:10,1.5585229396820068,0.000566483,3.252697467803955,1,177,325,100%
63,64,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:14,2024-September-04 12:39:17,0.9262650012969972,0.000435114,2.5614233016967773,1,177,151,100%
64,65,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:21,2024-September-04 12:39:24,1.0267322063446045,0.00082016,2.589096546173096,1,177,139,100%
65,66,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:29,2024-September-04 12:39:32,1.090087652206421,0.000381708,2.938685417175293,1,177,219,100%
66,67,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:37,2024-September-04 12:39:39,0.8967304229736328,0.000376463,2.557884454727173,1,177,139,100%
67,68,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:44,2024-September-04 12:39:47,1.200124979019165,0.00062108,2.950308084487915,1,177,252,100%
68,69,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:51,2024-September-04 12:39:54,1.371314287185669,0.000429869,3.043418407440185,1,177,161,100%
69,70,mistral-small,remove_hyperloop_specifications_sql,2024-September-04 12:39:59,2024-September-04 12:40:01,0.7265458106994629,0.000395775,2.406036853790283,1,177,87,100%
70,71,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:25,2024-September-04 12:40:26,0.557250977,0.000453234,1.3987653255462646,1,177,58,100%
71,72,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:30,2024-September-04 12:40:32,0.5998470783233643,0.000484228,1.3526811599731443,1,177,58,100%
72,73,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:36,2024-September-04 12:40:38,0.592592716,0.000444889,1.404594898223877,1,177,58,100%
73,74,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:42,2024-September-04 12:40:44,0.5996153354644775,0.000566483,1.442497968673706,1,177,58,100%
74,75,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:48,2024-September-04 12:40:50,0.5196878910064697,0.000603676,1.3264129161834717,1,177,58,100%
75,76,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:40:54,2024-September-04 12:40:56,0.5882666110992432,0.000523329,1.500260591506958,1,177,58,100%
76,77,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:41:01,2024-September-04 12:41:02,0.5640976428985596,0.000561714,1.4535284042358398,1,177,58,100%
77,78,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:41:07,2024-September-04 12:41:08,0.5837802886962891,0.000568867,1.3617968559265137,1,177,58,100%
78,79,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:41:13,2024-September-04 12:41:14,0.5592634677886963,0.00048995,1.3725864887237549,1,177,58,100%
79,80,gemini-1.5-flash,remove_hyperloop_specifications_sql,2024-September-04 12:41:19,2024-September-04 12:41:20,0.5250988006591797,0.000335932,1.2915239334106443,1,177,58,100%
80,81,gpt-3.5-turbo,backup_sql,2024-September-04 12:44:40,2024-September-04 12:44:42,1.112208604812622,0.000490904,2.0759024620056152,1,262,117,100%
81,82,gpt-3.5-turbo,backup_sql,2024-September-04 12:44:47,2024-September-04 12:44:49,0.8967800140380859,0.000416756,1.8228318691253664,1,262,117,100%
82,83,gpt-3.5-turbo,backup_sql,2024-September-04 12:44:54,2024-September-04 12:44:56,0.98695755,0.000351429,1.864751339,1,262,123,100%
83,84,gpt-3.5-turbo,backup_sql,2024-September-04 12:45:00,2024-September-04 12:45:02,0.8806719779968262,0.000406981,1.7930002212524414,1,262,119,100%
84,85,gpt-3.5-turbo,backup_sql,2024-September-04 12:45:07,2024-September-04 12:45:29,21.06685709953308,0.00040555,21.91165661811829,1,262,117,100%
85,86,gpt-4,backup_sql,2024-September-04 12:49:02,2024-September-04 12:49:05,2.123023748397827,0.000325441,2.8960461616516118,1,261,115,100%
86,87,gpt-4,backup_sql,2024-September-04 12:49:09,2024-September-04 12:49:12,2.1852588653564453,0.000488043,2.9718637466430664,1,261,115,100%
87,88,gpt-4,backup_sql,2024-September-04 12:52:20,2024-September-04 12:52:23,1.739179611206055,0.000561476,2.608513593673706,1,261,115,100%
88,89,gpt-4,backup_sql,2024-September-04 12:52:28,2024-September-04 12:52:31,1.9829480648040767,0.000337601,2.8556339740753174,1,261,115,100%
89,90,gpt-4,backup_sql,2024-September-04 12:52:35,2024-September-04 12:52:38,2.149940013885498,0.000359297,3.009794950485229,1,261,115,100%
90,91,mistral-small,backup_sql,2024-September-04 12:55:33,2024-September-04 12:55:35,0.8374142646789551,0.00038743,2.016034841537476,1,265,115,100%
91,92,mistral-small,backup_sql,2024-September-04 12:55:44,2024-September-04 12:55:47,0.7514216899871826,0.000647545,2.458271026611328,1,265,106,100%
92,93,mistral-small,backup_sql,2024-September-04 12:56:11,2024-September-04 12:56:14,0.9079923629760742,0.000658512,3.259376287460327,1,265,104,100%
93,94,mistral-small,backup_sql,2024-September-04 12:56:19,2024-September-04 12:56:21,0.796337366,0.000530005,2.371368646621704,1,265,106,100%
94,95,mistral-small,backup_sql,2024-September-04 12:56:26,2024-September-04 12:56:29,1.4393079280853271,0.000629187,3.0851705074310303,1,265,106,100%
95,96,gemini-1.5-flash,backup_sql,2024-September-04 12:57:09,2024-September-04 12:57:11,0.7191588878631592,0.000352144,2.1925978660583496,1,265,126,100%
96,97,gemini-1.5-flash,backup_sql,2024-September-04 12:57:16,2024-September-04 12:57:18,0.6816768646240234,0.000331163,1.9415743350982664,1,265,126,100%
97,98,gemini-1.5-flash,backup_sql,2024-September-04 12:57:22,2024-September-04 12:57:25,0.7271006107330322,0.00158,2.1786909103393555,1,265,126,100%
98,99,gemini-1.5-flash,backup_sql,2024-September-04 12:57:29,2024-September-04 12:57:34,3.0242435932159424,0.000334263,4.589855909347534,1,265,126,100%
99,100,gemini-1.5-flash,backup_sql,2024-September-04 12:57:38,2024-September-04 12:57:40,0.6578619480133057,0.000347137,2.103958845,1,265,126,100%
100,101,gpt-3.5-turbo,backup_sql,2024-September-04 12:58:08,2024-September-04 12:58:10,0.9446079730987548,0.000883341,2.3502981662750244,1,265,115,100%
101,102,gpt-3.5-turbo,backup_sql,2024-September-04 12:58:15,2024-September-04 12:58:17,0.843663216,0.00065732,2.199087142944336,1,265,115,100%
102,103,gpt-3.5-turbo,backup_sql,2024-September-04 12:58:22,2024-September-04 12:58:24,0.8490660190582275,0.000306368,2.2988531589508057,1,266,117,100%
103,104,gpt-3.5-turbo,backup_sql,2024-September-04 12:58:29,2024-September-04 12:58:31,0.867117167,0.000487566,2.090723752975464,1,266,117,100%
104,105,gpt-3.5-turbo,backup_sql,2024-September-04 12:58:35,2024-September-04 12:58:58,21.19179105758667,0.0005126,22.468958854675293,1,266,117,100%
105,106,gpt-4,backup_sql,2024-September-04 12:59:14,2024-September-04 12:59:18,2.6268346309661865,0.000353336,3.762349367141724,1,266,117,100%
106,107,gpt-4,backup_sql,2024-September-04 12:59:22,2024-September-04 12:59:26,1.9321768283843996,0.000269651,3.338693618774414,1,266,117,100%
107,108,gpt-4,backup_sql,2024-September-04 12:59:30,2024-September-04 12:59:33,1.7035534381866455,0.000406265,3.1670773029327397,1,266,117,100%
108,109,gpt-4,backup_sql,2024-September-04 12:59:38,2024-September-04 12:59:41,1.9004666805267332,0.000590563,3.2404565811157227,1,266,117,100%
109,110,gpt-4,backup_sql,2024-September-04 12:59:45,2024-September-04 13:00:09,22.24873638153076,0.000504732,23.738625526428223,1,266,117,100%
110,111,mistral-small,backup_sql,2024-September-04 13:00:26,2024-September-04 13:00:29,0.9166369438171388,0.000486612,2.622600793838501,1,266,108,100%
111,112,mistral-small,backup_sql,2024-September-04 13:00:33,2024-September-04 13:00:35,0.8178510665893555,0.000353336,2.347426176071167,1,266,117,100%
112,113,mistral-small,backup_sql,2024-September-04 13:00:40,2024-September-04 13:00:43,1.0793023109436035,0.000562906,2.8362882137298584,1,266,119,100%
113,114,mistral-small,backup_sql,2024-September-04 13:00:48,2024-September-04 13:00:50,0.9452664852142334,0.000507593,2.600757360458374,1,266,119,100%
114,115,mistral-small,backup_sql,2024-September-04 13:00:55,2024-September-04 13:00:57,1.1604034900665283,0.000391006,2.648150921,1,266,114,100%
115,116,gemini-1.5-flash,backup_sql,2024-September-04 13:01:44,2024-September-04 13:01:46,0.6577937602996826,0.000549316,2.1756081581115723,1,266,128,100%
116,117,gemini-1.5-flash,backup_sql,2024-September-04 13:01:51,2024-September-04 13:01:55,2.539203643798828,0.00030303,4.035384654998779,1,266,128,100%
117,118,gemini-1.5-flash,backup_sql,2024-September-04 13:02:00,2024-September-04 13:02:02,0.682044506,0.000653267,2.1458094120025635,1,266,128,100%
118,119,gemini-1.5-flash,backup_sql,2024-September-04 13:02:06,2024-September-04 13:02:09,0.6964972019195557,0.000450611,2.108473539352417,1,266,128,100%
119,120,gemini-1.5-flash,backup_sql,2024-September-04 13:02:13,2024-September-04 13:02:17,2.957144498825073,0.000584602,4.292510747909546,1,266,128,100%
